Country-years:
   South Africa (2014,2013,2012,2011,2010,2009,2008,2007)
   United States of America (2014,2013,2012,2011,2010,2009,2008,2007)
   Japan (2014,2013,2012,2011,2010,2009,2008,2007)
   Finland (2014,2013,2012,2011,2010,2009,2008,2007)
   Germany (2014,2013,2012,2011,2010,2009,2008,2007)
   Netherlands (2014,2013,2012,2011,2010,2009,2008,2007)
   Norway (2014,2013,2012,2011,2010,2009,2008,2007)
   Sweden (2014,2013,2012,2011,2010,2009,2008,2007)
   United Kingdom (2013,2012,2011,2009,2008,2007)
Cause groups:
  A:C00-D48
  B:TOT
Sex: All sexes
Data source: WHO mortality database
Date: Tue Oct 31 13:08:12 CET 2017
Country,Year,ICD rev and list,Cause group,Sex,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
United States of America,2012,104,A,F,00,284164,52,61,50,45,53,210,228,263,420,660,1272,2184,4420,8612,15722,22398,28720,33772,35298,36610,37899,32347,17059,5802,7
United States of America,2012,104,A,M,00,313574,66,52,48,71,69,278,284,395,578,786,1090,1636,3355,7643,16696,27236,36286,41972,43264,42924,41385,30527,13643,3281,9
Finland,2011,104,B,F,00,25241,63,8,2,3,1,13,16,30,55,55,69,91,144,269,474,731,1154,1314,1647,2518,4527,5857,4297,1903,0
Finland,2011,104,A,F,00,5674,2,1,0,0,0,4,7,3,5,8,16,31,56,91,203,355,579,629,683,813,951,785,366,86,0
Finland,2011,104,B,M,00,25327,79,12,4,5,4,15,14,89,146,188,197,227,349,628,1044,1632,2417,2469,2875,3481,4161,3278,1545,468,0
Finland,2011,104,A,M,00,6226,3,1,1,1,0,3,2,1,4,12,20,16,51,101,192,414,746,859,962,1049,943,602,201,42,0
Germany,2011,104,B,F,00,444700,1061,80,49,36,42,148,166,316,492,607,832,1250,2840,5530,8353,11427,15394,20300,38154,51002,79771,106056,65804,34990,0
Germany,2011,104,A,F,00,105421,10,9,9,7,13,37,39,53,80,126,283,494,1309,2722,4294,6145,8221,9968,15739,15667,16858,15006,6296,2036,0
Germany,2011,104,B,M,00,407628,1347,105,66,48,37,163,229,718,1432,1425,1776,2314,5108,9852,15659,21709,27808,36276,61233,66131,71698,52570,22530,7394,0
Germany,2011,104,A,M,00,122799,19,9,7,10,6,46,67,73,138,131,221,353,1010,2680,5120,8406,11403,15295,23365,21404,18578,10447,3311,700,0
