Country,Cause group,Year,ICD rev and list,Format,Sum of selected ages,< 1 year,1 year,2 years,3 years,4 years,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 95,95 +,Unknown
Sweden,A,2012,208,0,23103,3,3,2.0,3.0,9.0,11,13,24,22,43,60,110,182,351,624,1026,1786,2914,3155,3505,3901,3297,1654.0,405.0,0
Sweden,A,2013,208,0,23133,4,2,2.0,3.0,4.0,11,9,10,25,32,51,122,184,355,609,1018,1779,3056,3294,3467,3750,3269,1695.0,382.0,0
Sweden,A,2014,208,0,23337,2,4,4.0,5.0,2.0,15,11,16,28,34,63,86,197,332,598,1031,1704,2949,3467,3641,3787,3218,1722.0,421.0,0
Sweden,B,2007,208,0,91820,270,33,15.0,9.0,11.0,41,45,204,261,277,285,427,707,1057,1741,2862,4735,5598,7059,11140,16718,19653,13138.0,5534.0,0
Sweden,B,2008,208,0,91542,272,24,17.0,7.0,10.0,28,60,184,275,298,322,394,721,989,1730,2753,4808,5778,7103,10654,16286,19935,13235.0,5659.0,0
Sweden,B,2009,208,0,90177,278,36,24.0,22.0,5.0,47,57,173,271,266,284,440,687,1019,1723,2659,4622,5821,7315,10351,15567,19882,12927.0,5701.0,0
Sweden,B,2010,208,0,90519,294,28,14.0,12.0,12.0,32,44,170,284,287,293,361,602,999,1573,2529,4639,6167,7371,10486,15299,19491,13776.0,5756.0,0
Sweden,B,2011,208,0,89941,235,30,5.0,13.0,12.0,47,43,171,281,288,307,390,588,1021,1526,2521,4213,6427,7397,10106,14993,18981,14399.0,5947.0,0
Sweden,B,2012,208,0,91990,294,18,15.0,12.0,14.0,35,51,138,281,287,289,416,570,1050,1548,2400,4052,6667,7663,10231,15147,19160,15278.0,6374.0,0
Sweden,B,2013,208,0,90505,307,14,12.0,16.0,11.0,36,41,136,292,342,312,401,567,1015,1557,2358,3990,6739,7893,10133,14681,18166,15193.0,6293.0,0
Sweden,B,2014,208,0,89062,251,25,5.0,14.0,7.0,41,37,131,301,313,376,343,596,1015,1513,2323,3805,6651,8154,10114,14067,17705,15059.0,6216.0,0
United Kingdom,A,2007,208,0,159617,23,16,26.0,31.0,20.0,90,105,162,214,299,489,1012,1981,3334,5464,9722,14705,17836,22160,26568,26225,18555,8198.0,2382.0,0
United Kingdom,A,2008,208,0,160730,12,18,12.0,24.0,21.0,102,75,127,198,298,472,1015,1912,3364,5381,9173,14965,17988,22649,26342,26203,20135,7843.0,2401.0,0
United Kingdom,A,2009,208,0,159963,20,20,16.0,21.0,16.0,84,86,152,188,277,461,890,1915,3244,5343,8983,14995,17937,22668,25923,25908,20665,7641.0,2510.0,0
United Kingdom,A,2011,208,0,163071,24,19,25.0,15.0,20.0,86,83,120,196,315,481,838,1772,3310,5421,8651,14758,18771,22535,25693,26486,20962,9633.0,2857.0,0
United Kingdom,A,2012,208,0,165809,18,19,21.0,22.0,25.0,90,86,114,168,283,522,809,1730,3343,5522,8706,14142,19615,22525,26065,27090,21381,10684.0,2829.0,0
United Kingdom,A,2013,208,0,165842,22,21,25.0,18.0,28.0,88,78,112,169,294,536,814,1684,3227,5504,8490,13557,20405,22589,26101,26976,21124,11282.0,2698.0,0
United Kingdom,B,2007,208,0,574687,3740,272,165.0,123.0,85.0,337,482,1402,2013,2220,3066,4705,7116,9749,13783,21652,31368,39509,55514,79911,102399,99619,64993.0,30464.0,0
